upcP,prescriptionName,expiration
449320685099,Acetaminophen,45361
645455051640,Adderall,45336
379897022354,Amitriptyline,45341
478860910954,Amlodipine,45401
157975739289,Amoxicillin,45395
127804588993,Ativan,45553
100434057943,Atorvastatin,45643
181406148269,Azithromycin,45366
503736186196,Benzonatate,45301
815238645903,Brilinta,45534
762380154823,Bunavail,45306
878345726914,Buprenorphine,45580
896740720819,Cephalexin,45630
456361826124,Ciprofloxacin,45410
118345379688,Citalopram,45516
479108482322,Clindamycin,45487
635115213213,Clonazepam,45425
797137522358,Cyclobenzaprine,45592
926949473586,Cymbalta,45531
486100182822,Doxycycline,45394
191337523204,Dupixent,45551
456007708710,Entresto,45425
494449728026,Entyvio,45572
795774984488,Farxiga,45353
458522567814,Fentanyl,45498
716268096268,Fentanyl Patch,45611
871927653418,Gabapentin,45481
628625943268,Gilenya,45546
969073432051,Humira,45502
460860663119,Hydrochlorothiazide,45528
832027233189,Hydroxychloroquine,45442
541203336592,Ibuprofen,45644
184244263061,Imbruvica,45621
151975663139,Invokana,45295
970356907210,Januvia,45452
508890619074,Jardiance,45605
648532184868,Kevzara,45615
784557881386,Lexapro,45651
258583595423,Lisinopril,45495
571828637344,Lofexidine,45579
421726952336,Loratadine,45517
703059734190,Lyrica,45311
482213105641,Melatonin,45462
321659167454,Meloxicam,45297
709308698383,Metformin,45562
819459751829,Methadone,45340
921498990289,Methotrexate,45567
357783851300,Metoprolol,45421
520624477270,Naloxone,45412
145842476914,Naltrexone,45489
272733387170,Naproxen,45615
616703470533,Omeprazole,45356
557821130766,Onpattro,45548
870563253564,Otezla,45542
493717972361,Ozempic,45432
421880979223,Pantoprazole,45414
217751431264,Prednisone,45551
664713242323,Probuphine,45553
249871880478,Rybelsus,45474
266323461514,secukinumab,45461
759172554791,Sublocade,45474
128783273757,Tramadol,45310
860725467034,Trazodone,45501
184162172457,Viagra,45527
463902654568,Wellbutrin,45539
914771515055,Xanax,45328
149546802601,Zubsolv,45563
343980549463,Tacrolimus,45337
836045909940,Tadalafil,45498
546917024070,Takhzyro,45622
544695219143,Taltz,45620
273624994556,Tamiflu,45323
954058894601,Tamoxifen,45491
579907981242,Tamsulosin,45549
586927962193,Tazarotene,45412
793907581450,Tazorac,45637
376009856424,Tecartus,45465
561982009724,Tecentriq,45538
185843999787,Tegretol,45401
337381611075,K-Dur,45590
621558076486,K-Tab,45600
855765162756,Kadcyla,45308
877562439734,Kadian,45492
259745690097,kalbitor,45339
972620763026,Kaletra,45519
304127299475,Kanamycin,45657
983956253524,Kaopectate,45580
872060840063,Kapvay,45374
595315601806,Kava,45562
505629362183,Kayexalate,45480
349263719782,Keflex,45439
216014369371,Galantamine,45651
196611815513,Ganciclovir,45554
786779905127,Gardasil,45359
557735643645,Garlic,45622
585267141605,Gas-X,45387
604131237851,Gaviscon,45407
616615620053,Gavreto,45588
225711416741,Gazyva,45344
466966959049,Gemcitabine,45608
