verifID,reg,currAmount,enteredAmount,overShort
1,3,915,924,-9
2,4,240,241,-1
3,13,240,249,-9
4,14,1274,1273,1
5,20,1660,1645,15
6,3,380,378,2
7,4,1504,1516,-12
8,13,1315,1320,-5
9,14,497,508,-11
10,20,547,567,-20
11,3,1501,1510,-9
12,4,633,628,5
13,13,1187,1169,18
14,14,1553,1560,-7
15,20,1010,1006,4
16,3,1648,1665,-17
17,4,1510,1503,7
18,13,1744,1749,-5
19,14,342,342,0
20,20,1205,1213,-8
21,3,423,427,-4
22,4,1584,1596,-12
23,13,541,538,3
24,14,1360,1380,-20
25,20,1526,1518,8
26,3,1810,1818,-8
27,4,623,614,9
28,13,1882,1863,19
29,14,1613,1624,-11
30,20,1892,1893,-1
31,3,329,329,0
32,4,435,453,-18
33,13,559,578,-19
34,14,153,150,3
35,20,946,965,-19
36,3,1243,1257,-14
37,4,888,872,16
38,13,645,645,0
39,14,451,433,18
40,20,1265,1280,-15
41,3,485,499,-14
42,4,209,197,12
43,13,1805,1809,-4
44,14,1120,1113,7
45,20,1550,1560,-10
46,3,1018,1027,-9
47,4,1940,1922,18
48,13,322,314,8
49,14,201,212,-11
50,20,845,832,13
51,3,265,283,-18
52,4,1268,1267,1
53,13,580,578,2
54,14,1448,1463,-15
55,20,1868,1871,-3
56,3,1013,1030,-17
57,4,342,351,-9
58,13,571,564,7
59,14,1357,1351,6
60,20,1432,1431,1
61,3,323,331,-8
62,4,513,512,1
63,13,1631,1620,11
64,14,363,343,20
65,20,352,348,4
66,3,232,224,8
67,4,1809,1816,-7
68,13,1665,1651,14
69,14,1559,1552,7
70,20,1352,1336,16
71,3,1879,1880,-1
72,4,778,795,-17
73,13,774,780,-6
74,14,1353,1334,19
75,20,286,266,20
76,3,1434,1449,-15
77,4,1241,1242,-1
78,13,1044,1064,-20
79,14,543,558,-15
80,20,461,441,20
81,3,1914,1918,-4
82,4,1520,1510,10
83,13,1787,1797,-10
84,14,396,385,11
85,20,1996,2015,-19
86,3,776,788,-12
87,4,1639,1656,-17
88,13,1678,1694,-16
89,14,1540,1525,15
90,20,1576,1594,-18
91,3,953,959,-6
92,4,475,487,-12
93,13,218,211,7
94,14,920,900,20
95,20,401,394,7
96,3,646,626,20
97,4,363,345,18
98,13,1011,997,14
99,14,1721,1720,1
100,20,1918,1898,20
