impID,ones,fives,tens,twenties,fifties,hundreds,pennies,nickels,dimes,quarters
1,97,165,90,340,150,100,2,34,175,410
2,9,170,30,380,500,300,20.5,94,80,250
3,61,105,100,40,300,100,5.5,22,180,320
4,39,160,80,280,300,0,23,8,60,80
5,53,245,80,320,0,100,17.5,60,35,160
6,29,205,90,80,0,0,14.5,38,50,430
7,31,50,70,160,500,200,11,40,100,450
8,29,240,70,80,0,0,19.5,94,235,70
9,77,165,80,200,200,300,11,16,180,230
10,74,130,70,280,150,200,20,18,25,290
11,54,115,70,400,200,300,17,56,35,180
12,36,145,0,140,150,300,17,96,205,180
13,49,95,70,380,100,300,18,72,185,150
14,82,250,0,360,100,300,4.5,42,55,240
15,66,145,90,20,50,0,16.5,88,5,90
16,90,100,60,100,50,200,4.5,54,50,90
17,121,250,90,120,400,0,20,74,190,220
18,71,40,20,60,100,300,8.5,38,15,300
19,66,160,70,20,300,200,9.5,8,140,320
20,12,155,40,0,500,100,5,10,0,370
21,2,25,50,340,350,100,9.5,66,140,220
22,58,145,50,280,450,200,15,22,95,0
23,4,115,60,160,500,0,0.5,74,75,380
24,42,125,30,320,200,200,11.5,32,100,120
25,135,240,0,280,350,300,11.5,90,245,20
26,99,230,70,400,350,300,12,64,70,430
27,6,10,60,40,50,300,15,26,235,450
28,46,25,0,400,300,100,18,6,250,270
29,58,65,100,120,400,100,11.5,2,115,360
30,47,80,30,0,500,100,5,52,135,230
31,119,185,20,400,300,200,5,94,165,180
32,106,155,90,220,400,200,20.5,88,35,190
33,2,245,100,140,50,100,8,14,205,210
34,101,85,20,300,450,100,10,68,75,260
35,81,225,40,220,150,200,13.5,44,45,200
36,135,205,10,160,0,300,7.5,100,175,360
37,90,115,10,140,150,100,6,10,20,380
38,115,195,20,220,250,100,8.5,40,60,40
39,104,155,50,380,250,200,5.5,88,90,30
40,20,15,10,80,500,100,20.5,32,15,490
41,75,65,40,280,450,200,19,64,75,260
42,63,135,80,240,350,300,3,60,35,490
43,1,245,20,80,150,0,17.5,54,180,230
44,59,190,100,80,400,0,12.5,32,5,470
45,115,25,40,260,500,0,8.5,74,180,440
46,52,20,40,200,450,0,9.5,0,40,490
47,18,145,80,240,250,300,13.5,50,60,480
48,148,160,70,20,450,300,1,50,80,440
49,48,30,10,220,300,300,4,32,215,310
50,106,240,50,40,350,200,4.5,74,185,300
51,49,245,50,160,200,300,21,14,250,390
52,11,0,90,340,150,100,18.5,26,135,290
53,133,70,60,60,450,300,6,80,215,470
54,110,40,50,40,150,0,10.5,52,25,220
55,5,0,80,40,50,300,5,14,70,80
56,68,60,80,260,250,0,14.5,62,135,40
57,49,190,50,240,400,0,19.5,76,0,60
58,18,25,10,120,100,0,2.5,10,60,120
59,61,100,80,20,250,0,11.5,20,110,90
60,140,215,40,280,150,0,6,86,155,30
61,132,70,10,180,350,200,23,68,220,450
62,120,230,100,140,50,200,14.5,28,220,430
63,34,245,0,220,200,300,10,56,95,130
64,137,110,90,160,300,300,17.5,14,105,20
65,6,65,100,180,0,100,15.5,16,235,10
66,64,120,0,40,450,200,25,8,0,400
67,84,150,80,80,100,200,6,50,50,200
68,83,195,30,80,100,300,4,28,15,140
69,40,105,30,60,350,0,6.5,30,180,490
70,141,160,100,80,100,100,15.5,42,80,470
71,95,235,40,160,350,0,18,50,215,80
72,95,80,50,400,450,200,2,26,235,330
73,119,30,100,0,150,100,3,32,75,440
74,145,105,80,140,250,200,2,18,210,160
75,42,185,60,360,300,100,18.5,94,160,420
76,37,150,90,40,450,300,21.5,8,135,20
77,136,105,20,20,50,100,20.5,96,145,310
78,74,175,0,40,450,300,23.5,56,60,280
79,37,75,30,340,250,0,17.5,68,225,80
80,127,45,60,220,150,200,10.5,72,220,410
81,72,70,100,260,0,200,9.5,70,95,280
82,120,85,10,60,500,300,24,94,145,390
83,149,210,30,120,100,200,8.5,20,20,190
84,123,120,90,100,150,100,19,4,65,340
85,96,250,90,400,300,300,9,80,15,370
86,122,45,20,60,0,0,17.5,2,180,40
87,9,70,70,0,350,300,19,26,145,20
88,41,250,0,40,500,200,22.5,6,210,170
89,73,120,0,220,400,200,5.5,82,250,330
90,85,55,60,80,150,300,2,40,105,170
91,67,165,20,240,150,200,8.5,4,10,400
92,146,185,90,400,150,0,10,10,195,130
93,12,15,40,280,500,0,6.5,80,70,480
94,73,235,10,0,500,300,19.5,98,140,50
95,41,70,50,240,300,0,9.5,84,105,420
96,95,95,70,340,300,100,9,96,120,450
97,46,170,50,140,450,0,18,96,200,50
98,48,200,40,240,200,0,18,82,205,350
99,133,95,90,0,250,100,12,58,90,90
100,38,115,40,360,450,300,8,68,25,60
