upc,retaiP,saleP,mumd
745050622374,7,3,-4
897134402432,12,16,4
652891333616,9,13,4
185011186156,9,8,-1
383007417215,5,10,5
294765574392,10,11,1
953744633965,12,14,2
238381069454,9,5,-4
308137221549,13,15,2
403841430353,7,2,-5
186070313474,14,16,2
198831402247,12,10,-2
951626289750,11,6,-5
313316039442,10,15,5
762216910597,9,12,3
531337849922,10,14,4
167540669637,13,13,0
249168123049,10,12,2
518054579004,14,14,0
985922354938,8,4,-4
994960310489,5,6,1
121184465430,8,13,5
405216279010,11,13,2
853430756573,14,18,4
456183427295,11,15,4
657167814812,4,8,4
673882643090,1,3,2
742738423946,8,10,2
273185894967,6,11,5
195390973552,15,14,-1
492845439310,8,6,-2
997512547996,1,6,5
356885617385,10,8,-2
456836353421,14,15,1
585790420059,7,5,-2
524931458973,11,11,0
152389004133,2,6,4
254689912959,7,6,-1
743894549023,14,17,3
175818405322,10,8,-2
297987908585,1,5,4
697875519875,7,2,-5
683358951409,10,11,1
525759830174,2,4,2
371332714737,3,3,0
764719718140,5,5,0
428082677993,15,14,-1
595716490089,5,8,3
685190065100,11,10,-1
833037347559,8,7,-1
565611647204,2,5,3
107313929059,12,12,0
394943457188,5,4,-1
484927837466,13,10,-3
892618691836,14,14,0
288613842436,8,6,-2
659934184162,14,17,3
357455551407,12,12,0
143072565402,7,4,-3
513637870143,5,10,5
635147240712,10,14,4
632478937313,10,13,3
206577809208,8,11,3
333211718290,13,9,-4
684277693954,1,0,-1
412813779884,4,7,3
824134344431,15,19,4
166937751735,8,11,3
933136695832,13,12,-1
172545742961,2,3,1
616644902375,1,4,3
790776329585,3,-1,-4
818146699933,14,10,-4
101604711958,9,5,-4
533110591798,12,13,1
523642546373,11,7,-4
565544696076,5,8,3
213833548531,3,4,1
269746213409,6,11,5
842676442240,5,1,-4
878392866403,5,10,5
746562808616,4,2,-2
383300325334,1,-1,-2
976633038445,4,7,3
680685589005,10,11,1
331904790146,6,11,5
156648190917,12,8,-4
790250263342,4,8,4
473609321587,12,8,-4
962829321287,1,2,1
725995773566,6,1,-5
787985517237,2,-3,-5
686573947731,13,14,1
148341668358,11,13,2
447205527520,1,5,4
986041835106,10,6,-4
485557696138,2,-2,-4
191109397405,13,15,2
337368713946,9,8,-1
736228125415,10,13,3
384576938274,10,7,-3
182978336598,9,10,1
123212345678,7,5,-2
886510916202,20,25,5
853688942212,9,7,-2
767433580817,27,25,-2
755923003308,25,29,4
338417268485,11,16,5
806141701367,26,21,-5
939723032325,28,29,1
238746198711,7,7,0
690079528420,23,20,-3
629419580169,7,4,-3
621974496813,7,4,-3
244724132391,12,8,-4
682427326370,11,15,4
442526889958,7,10,3
811569236550,5,9,4
782378676731,8,10,2
134074854897,27,29,2
565760228209,19,21,2
430513933583,12,15,3
750615878490,9,8,-1
948730104568,20,18,-2
412046147485,23,18,-5
230036308016,29,29,0
425946258172,20,21,1
714606785620,11,15,4
137905928918,17,22,5
403873510207,11,12,1
645516525566,12,14,2
250361511023,10,11,1
109851281284,24,22,-2
807766694610,22,26,4
111383082107,18,22,4
860648106350,21,24,3
772893995710,21,19,-2
868138926697,17,18,1
622983881771,20,22,2
861569686099,28,26,-2
806709868097,8,5,-3
111855948812,5,9,4
754367011867,15,10,-5
326322313036,13,17,4
442935469363,10,8,-2
894084970049,24,23,-1
365907707112,21,24,3
963952745475,25,30,5
851492664936,11,8,-3
327343991371,15,17,2
443384230301,22,24,2
271951847270,11,13,2
256743696801,12,8,-4
264399516606,22,24,2
234409456300,27,32,5
960054344096,13,8,-5
918964440124,15,10,-5
447030218902,6,6,0
559190916817,26,30,4
574715846208,30,28,-2
639553084955,14,17,3
137177442605,28,24,-4
967249541590,21,16,-5
476144578059,17,22,5
847153289634,29,31,2
151320303590,30,29,-1
495194453660,28,24,-4
339411075722,23,27,4
232486545543,15,11,-4
706386610058,14,19,5
963953593402,28,33,5
540842555244,21,19,-2
258219863957,19,16,-3
524316333590,13,16,3
789367810274,8,11,3
800115955353,22,21,-1
511551997136,9,5,-4
921875711317,18,19,1
216184312407,9,8,-1
166248912628,8,7,-1
551815318068,19,23,4
496662368910,16,11,-5
104749300257,19,21,2
555827959264,13,13,0
331502878582,12,12,0
501027542573,16,12,-4
390985788030,14,19,5
571763824998,24,24,0
977917367833,10,8,-2
754357913557,14,12,-2
387596410147,13,18,5
986283436009,14,11,-3
134218621396,10,6,-4
869932086712,27,32,5
974616472447,11,16,5
987271305314,14,11,-3
220252291635,24,19,-5
483651379291,26,23,-3
420442382512,18,15,-3
563588834395,6,9,3
449320685099,466,466,0
645455051640,192,192,0
379897022354,19,19,0
478860910954,332,332,0
157975739289,197,197,0
127804588993,409,409,0
100434057943,461,461,0
181406148269,61,61,0
503736186196,103,103,0
815238645903,406,406,0
762380154823,435,435,0
878345726914,329,329,0
896740720819,180,180,0
456361826124,358,358,0
118345379688,188,188,0
479108482322,320,320,0
635115213213,236,236,0
797137522358,14,14,0
926949473586,291,291,0
486100182822,183,183,0
191337523204,60,60,0
456007708710,273,273,0
494449728026,55,55,0
795774984488,419,419,0
458522567814,144,144,0
716268096268,16,16,0
871927653418,43,43,0
628625943268,401,401,0
969073432051,80,80,0
460860663119,214,214,0
832027233189,288,288,0
541203336592,423,423,0
184244263061,475,475,0
151975663139,421,421,0
970356907210,385,385,0
508890619074,182,182,0
648532184868,276,276,0
784557881386,242,242,0
258583595423,254,254,0
571828637344,254,254,0
421726952336,243,243,0
703059734190,367,367,0
482213105641,133,133,0
321659167454,22,22,0
709308698383,74,74,0
819459751829,188,188,0
921498990289,134,134,0
357783851300,98,98,0
520624477270,132,132,0
145842476914,349,349,0
272733387170,89,89,0
616703470533,82,82,0
557821130766,149,149,0
870563253564,487,487,0
493717972361,363,363,0
421880979223,471,471,0
217751431264,438,438,0
664713242323,122,122,0
249871880478,370,370,0
266323461514,272,272,0
759172554791,162,162,0
128783273757,446,446,0
860725467034,107,107,0
184162172457,218,218,0
463902654568,45,45,0
914771515055,453,453,0
149546802601,254,254,0
343980549463,144,144,0
836045909940,106,106,0
546917024070,432,432,0
544695219143,142,142,0
273624994556,349,349,0
954058894601,463,463,0
579907981242,37,37,0
586927962193,228,228,0
793907581450,300,300,0
376009856424,100,100,0
561982009724,108,108,0
185843999787,173,173,0
337381611075,236,236,0
621558076486,134,134,0
855765162756,486,486,0
877562439734,98,98,0
259745690097,162,162,0
972620763026,126,126,0
304127299475,465,465,0
983956253524,201,201,0
872060840063,318,318,0
595315601806,249,249,0
505629362183,487,487,0
349263719782,63,63,0
216014369371,62,62,0
196611815513,306,306,0
786779905127,5,5,0
557735643645,214,214,0
585267141605,97,97,0
604131237851,35,35,0
616615620053,269,269,0
225711416741,363,363,0
466966959049,237,237,0
