dateDeposited,eID,depID
44587,1,1
44694,2,2
44888,3,3
44578,4,4
44861,5,5
44710,6,6
44666,7,7
44801,8,8
44738,9,9
44658,10,10
44705,11,11
44844,12,12
44600,13,13
44862,14,14
44860,15,15
44591,16,16
44886,17,17
44917,18,18
44842,19,19
44852,20,20
44881,21,21
44761,22,22
44710,23,23
44860,24,24
44693,25,25
44834,26,26
44836,27,27
44709,28,28
44819,29,29
44815,30,30
44661,31,31
44677,32,32
44622,33,33
44811,34,34
44771,35,35
44844,36,36
44881,37,37
44914,38,38
44902,39,39
44853,40,40
44868,41,41
44650,42,42
44756,43,43
44668,44,44
44656,45,45
44778,46,46
44716,47,47
44791,48,48
44885,49,49
44605,50,50
44603,51,51
44841,52,52
44747,53,53
44770,54,54
44820,55,55
44757,56,56
44852,57,57
44588,58,58
44640,59,59
44669,60,60
44902,61,61
44656,62,62
44716,63,63
44624,64,64
44726,65,65
44721,66,66
44665,67,67
44893,68,68
44813,69,69
44851,70,70
44705,71,71
44807,72,72
44582,73,73
44682,74,74
44702,75,75
44675,76,76
44606,77,77
44900,78,78
44789,79,79
44640,80,80
44623,81,81
44875,82,82
44768,83,83
44672,84,84
44705,85,85
44639,86,86
44789,87,87
44838,88,88
44747,89,89
44855,90,90
44921,91,91
44815,92,92
44828,93,93
44799,94,94
44679,95,95
44715,96,96
44771,97,97
44772,98,98
44806,99,99
44866,100,100
