dateUpdated,upcN,upcOp
44575,745050622374,745050622374
44755,897134402432,897134402432
44875,652891333616,652891333616
44574,185011186156,185011186156
44680,383007417215,383007417215
44642,294765574392,294765574392
44620,953744633965,953744633965
44853,238381069454,238381069454
44754,308137221549,308137221549
44626,403841430353,403841430353
44804,186070313474,186070313474
44866,198831402247,198831402247
44575,951626289750,951626289750
44681,313316039442,313316039442
44607,762216910597,762216910597
44914,531337849922,531337849922
44629,167540669637,167540669637
44721,249168123049,249168123049
44685,518054579004,518054579004
44700,985922354938,985922354938
44890,994960310489,994960310489
44903,121184465430,121184465430
44713,405216279010,405216279010
44809,853430756573,853430756573
44579,456183427295,456183427295
44880,657167814812,657167814812
44753,673882643090,673882643090
44755,742738423946,742738423946
44722,273185894967,273185894967
44631,195390973552,195390973552
44749,492845439310,492845439310
44643,997512547996,997512547996
44866,356885617385,356885617385
44857,456836353421,456836353421
44889,585790420059,585790420059
44815,524931458973,524931458973
44776,152389004133,152389004133
44827,254689912959,254689912959
44735,743894549023,743894549023
44828,175818405322,175818405322
44838,297987908585,297987908585
44864,697875519875,697875519875
44822,683358951409,683358951409
44760,525759830174,525759830174
44789,371332714737,371332714737
44622,764719718140,764719718140
44764,428082677993,428082677993
44695,595716490089,595716490089
44743,685190065100,685190065100
44676,833037347559,833037347559
44595,565611647204,565611647204
44775,107313929059,107313929059
44826,394943457188,394943457188
44815,484927837466,484927837466
44869,892618691836,892618691836
44778,288613842436,288613842436
44740,659934184162,659934184162
44921,357455551407,357455551407
44895,143072565402,143072565402
44864,513637870143,513637870143
44862,635147240712,635147240712
44679,632478937313,632478937313
44745,206577809208,206577809208
44688,333211718290,333211718290
44871,684277693954,684277693954
44758,412813779884,412813779884
44767,824134344431,824134344431
44917,166937751735,166937751735
44838,933136695832,933136695832
44754,172545742961,172545742961
44692,616644902375,616644902375
44625,790776329585,790776329585
44771,818146699933,818146699933
44855,101604711958,101604711958
44887,533110591798,533110591798
44873,523642546373,523642546373
44922,565544696076,565544696076
44680,213833548531,213833548531
44891,269746213409,269746213409
44819,842676442240,842676442240
44885,878392866403,878392866403
44583,746562808616,746562808616
44604,383300325334,383300325334
44585,976633038445,976633038445
44682,680685589005,680685589005
44578,331904790146,331904790146
44583,156648190917,156648190917
44565,790250263342,790250263342
44852,473609321587,473609321587
44705,962829321287,962829321287
44757,725995773566,725995773566
44569,787985517237,787985517237
44734,686573947731,686573947731
44678,148341668358,148341668358
44630,447205527520,447205527520
44816,986041835106,986041835106
44672,485557696138,485557696138
44654,191109397405,191109397405
44675,337368713946,337368713946
44872,736228125415,736228125415
