dateUpdated,upcO,upcOp
12/30/2022 0:00:00,384576938274,384576938274
6/22/2022 0:00:00,182978336598,182978336598
6/17/2022 0:00:00,123212345678,123212345678
9/7/2022 0:00:00,886510916202,886510916202
11/12/2022 0:00:00,853688942212,853688942212
8/20/2022 0:00:00,767433580817,767433580817
4/28/2022 0:00:00,755923003308,755923003308
7/15/2022 0:00:00,338417268485,338417268485
4/14/2022 0:00:00,806141701367,806141701367
11/26/2022 0:00:00,939723032325,939723032325
11/16/2022 0:00:00,238746198711,238746198711
6/23/2022 0:00:00,690079528420,690079528420
9/8/2022 0:00:00,629419580169,629419580169
11/29/2022 0:00:00,621974496813,621974496813
3/25/2022 0:00:00,244724132391,244724132391
7/10/2022 0:00:00,682427326370,682427326370
8/20/2022 0:00:00,442526889958,442526889958
8/4/2022 0:00:00,811569236550,811569236550
3/30/2022 0:00:00,782378676731,782378676731
1/2/2022 0:00:00,134074854897,134074854897
4/1/2022 0:00:00,565760228209,565760228209
6/5/2022 0:00:00,430513933583,430513933583
6/8/2022 0:00:00,750615878490,750615878490
1/7/2022 0:00:00,948730104568,948730104568
11/7/2022 0:00:00,412046147485,412046147485
3/18/2022 0:00:00,230036308016,230036308016
10/29/2022 0:00:00,425946258172,425946258172
5/18/2022 0:00:00,714606785620,714606785620
12/8/2022 0:00:00,137905928918,137905928918
7/23/2022 0:00:00,403873510207,403873510207
8/12/2022 0:00:00,645516525566,645516525566
5/12/2022 0:00:00,250361511023,250361511023
5/10/2022 0:00:00,109851281284,109851281284
6/17/2022 0:00:00,807766694610,807766694610
10/14/2022 0:00:00,111383082107,111383082107
8/21/2022 0:00:00,860648106350,860648106350
9/25/2022 0:00:00,772893995710,772893995710
11/17/2022 0:00:00,868138926697,868138926697
4/23/2022 0:00:00,622983881771,622983881771
6/13/2022 0:00:00,861569686099,861569686099
11/26/2022 0:00:00,806709868097,806709868097
11/27/2022 0:00:00,111855948812,111855948812
9/30/2022 0:00:00,754367011867,754367011867
9/30/2022 0:00:00,326322313036,326322313036
6/10/2022 0:00:00,442935469363,442935469363
4/28/2022 0:00:00,894084970049,894084970049
9/8/2022 0:00:00,365907707112,365907707112
3/13/2022 0:00:00,963952745475,963952745475
2/27/2022 0:00:00,851492664936,851492664936
7/21/2022 0:00:00,327343991371,327343991371
9/17/2022 0:00:00,443384230301,443384230301
4/5/2022 0:00:00,271951847270,271951847270
10/10/2022 0:00:00,256743696801,256743696801
10/6/2022 0:00:00,264399516606,264399516606
4/1/2022 0:00:00,234409456300,234409456300
3/13/2022 0:00:00,960054344096,960054344096
10/23/2022 0:00:00,918964440124,918964440124
8/24/2022 0:00:00,447030218902,447030218902
12/30/2022 0:00:00,559190916817,559190916817
10/24/2022 0:00:00,574715846208,574715846208
3/24/2022 0:00:00,639553084955,639553084955
10/7/2022 0:00:00,137177442605,137177442605
4/15/2022 0:00:00,967249541590,967249541590
11/24/2022 0:00:00,476144578059,476144578059
3/1/2022 0:00:00,847153289634,847153289634
8/10/2022 0:00:00,151320303590,151320303590
4/5/2022 0:00:00,495194453660,495194453660
11/14/2022 0:00:00,339411075722,339411075722
9/11/2022 0:00:00,232486545543,232486545543
6/26/2022 0:00:00,706386610058,706386610058
4/16/2022 0:00:00,963953593402,963953593402
11/2/2022 0:00:00,540842555244,540842555244
5/31/2022 0:00:00,258219863957,258219863957
3/10/2022 0:00:00,524316333590,524316333590
11/12/2022 0:00:00,789367810274,789367810274
5/18/2022 0:00:00,800115955353,800115955353
4/3/2022 0:00:00,511551997136,511551997136
11/27/2022 0:00:00,921875711317,921875711317
8/13/2022 0:00:00,216184312407,216184312407
9/4/2022 0:00:00,166248912628,166248912628
1/8/2022 0:00:00,551815318068,551815318068
3/7/2022 0:00:00,496662368910,496662368910
1/17/2022 0:00:00,104749300257,104749300257
3/17/2022 0:00:00,555827959264,555827959264
8/1/2022 0:00:00,331502878582,331502878582
12/4/2022 0:00:00,501027542573,501027542573
2/10/2022 0:00:00,390985788030,390985788030
2/15/2022 0:00:00,571763824998,571763824998
12/6/2022 0:00:00,977917367833,977917367833
4/16/2022 0:00:00,754357913557,754357913557
9/2/2022 0:00:00,387596410147,387596410147
8/12/2022 0:00:00,986283436009,986283436009
11/25/2022 0:00:00,134218621396,134218621396
12/24/2022 0:00:00,869932086712,869932086712
7/7/2022 0:00:00,974616472447,974616472447
12/29/2022 0:00:00,987271305314,987271305314
6/27/2022 0:00:00,220252291635,220252291635
1/7/2022 0:00:00,483651379291,483651379291
8/2/2022 0:00:00,420442382512,420442382512
1/12/2022 0:00:00,563588834395,563588834395
