dateUpdated,upcP,upcOp
4/28/2022 0:00:00,449320685099,449320685099
1/6/2022 0:00:00,645455051640,645455051640
12/7/2022 0:00:00,379897022354,379897022354
8/23/2022 0:00:00,478860910954,478860910954
6/19/2022 0:00:00,157975739289,157975739289
4/15/2022 0:00:00,127804588993,127804588993
10/11/2022 0:00:00,100434057943,100434057943
4/7/2022 0:00:00,181406148269,181406148269
2/20/2022 0:00:00,503736186196,503736186196
3/15/2022 0:00:00,815238645903,815238645903
6/17/2022 0:00:00,762380154823,762380154823
4/19/2022 0:00:00,878345726914,878345726914
1/19/2022 0:00:00,896740720819,896740720819
11/23/2022 0:00:00,456361826124,456361826124
8/26/2022 0:00:00,118345379688,118345379688
7/2/2022 0:00:00,479108482322,479108482322
3/11/2022 0:00:00,635115213213,635115213213
12/25/2022 0:00:00,797137522358,797137522358
7/7/2022 0:00:00,926949473586,926949473586
4/19/2022 0:00:00,486100182822,486100182822
10/19/2022 0:00:00,191337523204,191337523204
11/13/2022 0:00:00,456007708710,456007708710
8/22/2022 0:00:00,494449728026,494449728026
9/30/2022 0:00:00,795774984488,795774984488
12/20/2022 0:00:00,458522567814,458522567814
7/13/2022 0:00:00,716268096268,716268096268
4/10/2022 0:00:00,871927653418,871927653418
1/25/2022 0:00:00,628625943268,628625943268
9/22/2022 0:00:00,969073432051,969073432051
8/27/2022 0:00:00,460860663119,460860663119
11/6/2022 0:00:00,832027233189,832027233189
6/24/2022 0:00:00,541203336592,541203336592
9/19/2022 0:00:00,184244263061,184244263061
7/20/2022 0:00:00,151975663139,151975663139
4/30/2022 0:00:00,970356907210,970356907210
4/19/2022 0:00:00,508890619074,508890619074
9/8/2022 0:00:00,648532184868,648532184868
6/10/2022 0:00:00,784557881386,784557881386
7/2/2022 0:00:00,258583595423,258583595423
9/29/2022 0:00:00,571828637344,571828637344
4/18/2022 0:00:00,421726952336,421726952336
9/19/2022 0:00:00,703059734190,703059734190
11/19/2022 0:00:00,482213105641,482213105641
9/8/2022 0:00:00,321659167454,321659167454
11/4/2022 0:00:00,709308698383,709308698383
7/24/2022 0:00:00,819459751829,819459751829
8/6/2022 0:00:00,921498990289,921498990289
7/18/2022 0:00:00,357783851300,357783851300
1/30/2022 0:00:00,520624477270,520624477270
11/23/2022 0:00:00,145842476914,145842476914
3/21/2022 0:00:00,272733387170,272733387170
12/20/2022 0:00:00,616703470533,616703470533
2/24/2022 0:00:00,557821130766,557821130766
11/30/2022 0:00:00,870563253564,870563253564
4/18/2022 0:00:00,493717972361,493717972361
6/29/2022 0:00:00,421880979223,421880979223
7/3/2022 0:00:00,217751431264,217751431264
8/30/2022 0:00:00,664713242323,664713242323
12/20/2022 0:00:00,249871880478,249871880478
3/24/2022 0:00:00,266323461514,266323461514
8/11/2022 0:00:00,759172554791,759172554791
12/22/2022 0:00:00,128783273757,128783273757
11/8/2022 0:00:00,860725467034,860725467034
11/15/2022 0:00:00,184162172457,184162172457
12/24/2022 0:00:00,463902654568,463902654568
10/10/2022 0:00:00,914771515055,914771515055
3/12/2022 0:00:00,149546802601,149546802601
10/16/2022 0:00:00,343980549463,343980549463
3/15/2022 0:00:00,836045909940,836045909940
4/3/2022 0:00:00,546917024070,546917024070
1/22/2022 0:00:00,544695219143,544695219143
7/8/2022 0:00:00,273624994556,273624994556
5/23/2022 0:00:00,954058894601,954058894601
8/21/2022 0:00:00,579907981242,579907981242
4/4/2022 0:00:00,586927962193,586927962193
4/11/2022 0:00:00,793907581450,793907581450
9/14/2022 0:00:00,376009856424,376009856424
4/25/2022 0:00:00,561982009724,561982009724
6/16/2022 0:00:00,185843999787,185843999787
3/6/2022 0:00:00,337381611075,337381611075
5/8/2022 0:00:00,621558076486,621558076486
12/9/2022 0:00:00,855765162756,855765162756
1/5/2022 0:00:00,877562439734,877562439734
7/4/2022 0:00:00,259745690097,259745690097
10/22/2022 0:00:00,972620763026,972620763026
8/25/2022 0:00:00,304127299475,304127299475
11/9/2022 0:00:00,983956253524,983956253524
4/11/2022 0:00:00,872060840063,872060840063
11/8/2022 0:00:00,595315601806,595315601806
12/17/2022 0:00:00,505629362183,505629362183
10/30/2022 0:00:00,349263719782,349263719782
5/23/2022 0:00:00,216014369371,216014369371
4/9/2022 0:00:00,196611815513,196611815513
1/29/2022 0:00:00,786779905127,786779905127
11/11/2022 0:00:00,557735643645,557735643645
3/23/2022 0:00:00,585267141605,585267141605
2/25/2022 0:00:00,604131237851,604131237851
3/29/2022 0:00:00,616615620053,616615620053
5/19/2022 0:00:00,225711416741,225711416741
1/9/2022 0:00:00,466966959049,466966959049
